0ad a26-12
fs-uae 3.1.66-2
fsarchiver 0.8.7-1
fst 0.123.0-1
fstrm 0.6.1-1
fsverity-utils 1.5-3
ft2-clone 1.75-1
ftgl 2.4.0-2
function2 4.2.4-1
functional-plus 0.2.18-1
furnace 0.6.1-2
fuse-overlayfs 1.13-1
fuse-zip 0.7.2-3
fuse2 2.9.9-4
fuse3 3.16.2-1
fuseiso 20070708-8
fuzzel 1.9.2-1
fwbuilder 5.3.7-15
fwknop 2.6.10-2
fwupd 1.9.14-1
fzy 1.0-2
g2reverb 0.7.1-6
galculator 2.1.4-8
gambas3 3.18.4-4
gamemode 1.8.1-2
gamescope 3.14.0-1
gammaray 3.0.0-6
gammastep 2.0.9-2
gammu 1.42.0-1
ganv 1.8.2-1
gap 4.12.2-4
garcon 4.18.2-1
gauche 0.9.14-1
gavl 1.4.0-7
gawk 5.3.0-1
gc 8.2.6-1
gcab 1.6-1
gcc 13.2.1-5
gcc12 12.3.0-3
gcin 2.9.0-5
gcolor3 2.4.0-5
gcompris-qt 4.0-1
gcovr 7.0-1
gcr 3.41.2-1
gcr-4 4.2.0-1
gd 2.3.3-7
gdal 3.8.4-1
gdb 14.1-1
gdbm 1.23-2
gdk-pixbuf-xlib 2.40.2-2
gdk-pixbuf2 2.42.10-2
gdl 3.40.0-1
gdlmm 3.7.3-5
gdm 45.0.1-1
gdnsd 3.8.1-2
geany 2.0-1
geany-plugins 2.0-1
gearmand 1.1.21-1
gedit 46.2-1
gedit-plugins 46.0-1
geeqie 2.2-2
gegl 0.4.48-1
gen2shp 0.3.1-12
gengetopt 2.23-2
gensio 2.6.7-1
genxrdpattern 1.1-3
geoclue 2.7.1-2
geocode-glib 3.26.4-4
geogram 1.8.3-1
geoip 1.6.12-2
geonkick 3.3.2-2
geos 3.12.0-1
gerbera 2.0.0-3
getdns 1.7.3-1
gettext 0.22.4-1
gf2x 1.3.0-2
gflags 2.2.2-4
ghc-filesystem 1.5.14-1
ghex 45.1-1
ghidra 11.0.1-1
ghostscript 10.02.1-1
ghostwriter 23.08.5-1
giac 1.9.0.93-1
gif2png 3.0.3-1
giflib 5.2.2-1
gifsicle 1.94-1
gigedit 1.2.1-1
giggle 0.7-11
gimagereader 3.4.2-1
gimp 2.10.36-5
gimp-nufraw 0.43.3-9
gio-qt 0.0.12-1
girara 0.4.2-1
git 2.44.0-1
git-crypt 0.7.0-2
gitg 2:44-1
givaro 4.2.0-1
gjs 2:1.78.4-1
gkrellm 2.3.11-3
gl2ps 1.4.2-3
glabels 3.4.1-9
glad 2.0.4-1
glade 3.40.0+r14+g1fbca367-2
glava 1.6.3-3
glbinding 3.3.0-1
glew 2.2.0-6
glew1.10 1.10.0-3
glewlwyd 2.7.6-2
glfw 3.3.10-1
glhack 1.2-10
glib-networking 1:2.78.0-1
glib2 2.78.4-1
glibc 2.39-1
glibmm 2.66.6-1
glibmm-2.68 2.78.1-1
glide 0.6.1-1
glm 1.0.0-1
glmark2 2023.01-1
glob2 0.9.4.4-47
global 6.6.11-1
globalprotect-openconnect 1.4.9-1
glom 1.32.0-13
gloobus-preview 0.4.5.336-6
gloox 1.0.27-1
glpk 5.0-2
glslang 14.0.0-1
glu 9.0.3-1
glulxe-term 1:0.6.1-1
glusterfs 1:11.1-1
glyr 1.0.10-5
gmic 3.3.4-1
gmime3 3.2.14-1
gmm 5.4.2-2
gmni 1.0-2
gmp-ecm 7.0.5-1
gmrun 1.4w-1
gmsynth.lv2 0.6.0-1
gmt 6.4.0-5
gmtk 1.0.9-6
gmtp 1.3.11-3
gn 0.2143.a2e2717e-1
gnac 0.2.4.1-12
gnome-applets 3.50.0-3
gnome-autoar 0.4.4-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnome-bluetooth-3.0 42.8-1
gnome-builder 45.0-3
gnome-calendar 45.1-1
gnome-characters 45.0-1
gnome-color-manager 3.36.0+r51+gcf7ee2b5-1
gnome-connections 45.0-1
gnome-console 45.0-1
gnome-control-center 45.3-1
gnome-desktop 1:44.0-1
gnome-devel-docs 40.3-1
gnome-dictionary 40.0-2
gnome-disk-utility 45.1-1
gnome-epub-thumbnailer 1.7-1
gnome-firmware 45.0-1
gnome-flashback 3.50.0-3
gnome-font-viewer 45.0-1
gnome-games 40.0-4
gnome-initial-setup 45.0-2
gnome-keyring 1:46.1-1
gnome-latex 3.46.0-2
gnome-logs 45beta-1
gnome-maps 45.4-1
gnome-menus 3.36.0-2
gnome-mplayer 1.0.9-8
gnome-multi-writer 3.35.90-1
gnome-nettool 42.0-2
gnome-notes 40.1-4
gnome-online-accounts 3.48.0-2
gnome-packagekit 43.0-1
gnome-panel 3.50.0-4
gnome-photos 1:44.0-4
gnome-power-manager 43.0-1
gnome-recipes 2.0.4-5
gnome-remote-desktop 45.1-1
gnome-screenshot 41.0+r25+g45f08f0-1
gnome-session 45.0-1
gnome-settings-daemon 45.1-1
gnome-shell 1:45.4-1
gnome-software 45.3-1
gnome-system-monitor 45.0.2-1
gnome-terminal 3.50.1-1
gnome-text-editor 45.3-1
gnome-tour 45.0-1
gnote 45.1-1
gnu-efi 3.0.17-3
gnu-netcat 0.7.1-9
gnubg 1.07.001-2
gnubiff 2.2.17-11
gnucash 5.5-1
gnuchess 6.2.9-3
gnucobol 3.2-1
gnugo 3.8-7
gnumeric 1.12.57-1
gnupg 2.4.4-1
gnupg-pkcs11-scd 0.10.0-2
gnuplot 6.0.0-1
gnuradio 3.10.9.2-1
gnuradio-iqbal 0.38.2.r9.gfbee239-6
gnuradio-osmosdr 0.2.5-2
gnustep-base 1.29.0-3
gnutls 3.8.3-1
go 2:1.22.0-1
go-ethereum 1.13.14-1
goaccess 1.9.1-1
goattracker 2.76-3
gob2 2.0.20-3
gobby 1:0.6.0-1
gobject-introspection 1.78.1-1
gocr 0.52-2
godot 4.2.1-1
goffice 0.10.57-1
gogglesmm 1.2.5-1
gom 0.4-7
goobox 3.6.0-2
goocanvas 3.0.0-4
goocanvasmm 1.90.11-7
google-glog 0.7.0-1
gource 0.54-2
goxel 0.14.0-1
gpa 0.10.0-2
gpac 1:2.2.1-2
gpart 0.3-4
gparted 1.6.0-1
gpaste 45-1
gperf 3.1-5
gperftools 2.15-1
gpg-crypter 0.4.1-4
gpgme 1.23.2-1
gphoto2 2.5.28-1
gpick 0.3-1
gpicview 0.2.5-8
gpm 1.20.7.r38.ge82d1a6-5
gpsbabel 1.9.0-1
gpscorrelate 2.0-5
gpsd 3.25-2
gpsim 0.31.0-2
gpsmanshp 1.2.3-4
gptfdisk 1.0.10-1
gputils 1.5.2-1
gpx-viewer 0.4.0-4
gpxsee 13.15-1
gqrx 2.17.4-1
gradle 8.6-1
gradle7 7.6.4-1
grafx2 2.8-3
granatier 23.08.5-1
grantlee 5.3.1-1
grantlee-editor 23.08.5-1
grantleetheme 23.08.5-1
graphene 1.10.8-1
graphicsmagick 1.3.42-3
graphite 1:1.3.14-3
graphviz 10.0.1-1
greetd-gtkgreet 0.8-1
grep 3.11-1
grilo 0.3.16-1
grilo-plugins 1:0.3.16-1
grim 1.4.1-1
groff 1.23.0-5
grpc 1.62.0-1
grsync 1.3.1-1
grub 2:2.12-1
grub-customizer 5.2.4-1
gsasl 2.2.1-1
gsettings-qt 0.2-1
gsimplecal 2.5.1-1
gsl 2.7.1-3
gsm 1.0.22-1
gsmartcontrol 1.1.4-1
gsoap 2.8.132-1
gsocket 1.4.40-1
gsound 1.0.3-3
gspell 1.12.2-2
gss 1.0.4-1
gssdp 1.6.3-1
gssproxy 0.9.2-1
gst-plugins-espeak 0.5.0-4
gstreamer 1.22.10-1
gstreamermm 1.10.0-2
gtest 1.14.0-1
gthumb 3.12.5-2
gtk-chtheme 0.3.1-11
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-layer-shell 0.8.2-1
gtk-sharp-2 2.12.45-4
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk2+extra 3.3.4-2
gtk3 1:3.24.41-1
gtk4 1:4.12.5-1
gtkdatabox 1.0.0-1
gtkglext 1.2.0-13
gtkimageview 1.6.4-7
gtkmathview 0.8.0-9
gtkmm 1:2.24.5-4
gtkmm-4.0 4.12.0-1
gtkmm3 3.24.8-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gtksourceview5 5.10.0-1
gtksourceviewmm 1:3.18.0-5
gtkspell3 3.0.10-2
gtkwave 3.3.118-1
gtranslator 45.3-1
gts 0.7.6.121130-2
gucharmap 15.1.1-1
guestfs-tools 1.52.0-1
guetzli 1.0.1-4
guichan 0.8.2-7
guile 3.0.9-1
guile2.2 2.2.7-4
guitarix 0.44.1-6
gumbo-parser 0.12.1-1
gummi 2:0.8.3-2
gupnp 1:1.6.6-1
gupnp-av 0.14.1-2
gupnp-dlna 0.12.0-2
gupnp-igd 1.6.0-1
gupnp-tools 0.12.1-1
gutenprint 5.3.4-3
guvcview 2.0.8-3
gv 3.7.4-5
gvfs 1.52.2-2
gwenhywfar 5.10.2-1
gwenview 23.08.5-1
gwget 1.0.4-19
gxkb 0.9.4-1
gxplugins.lv2 1.0-1
gyp 20230914.a03d7413-1
gzip 1.13-2
hackrf 2023.01.1-1
half 2.2.0-2
halibut 1.3-2
hamlib 4.5.5-3
handbrake 1.7.3-1
haproxy 2.9.6-1
harfbuzz 8.3.0-2
haruna 0.12.3-1
harvid 0.9.1-2
hashcat 1:6.2.6-1
hashcat-utils 1.9-2
hashdeep 4.4-7
haskell-bindings-dsl 1.0.25-1
haskell-bloomfilter 2.0.1.2-1
haskell-bz2 1.0.1.0-216
haskell-bzlib 0.5.1.0-8
haskell-cipher-aes 0.2.11-322
haskell-cipher-aes128 0.7.0.6-8
haskell-cmark-gfm 0.2.5-36
haskell-crypton 0.34-7
haskell-cryptonite 0.30-69
haskell-curve25519 0.2.8-6
haskell-direct-sqlite 2.3.29-3
haskell-double-conversion 2.0.5.0-1
haskell-ed25519 0.0.5.0-24
haskell-ghc-lib-parser 8.10.5.20210606-2
haskell-hadrian 0.1.0.0-161
haskell-hs-bibutils 6.10.0.0-146
haskell-hslua-list 1.1.1-48
haskell-isocline 1.0.9-1
haskell-libbf 0.6.5.1-39
haskell-libxml-sax 0.7.5-32
haskell-libyaml 0.1.2-337
haskell-lpeg 1.0.4-22
haskell-lua 2.3.2-2
haskell-mersenne-random-pure64 0.2.2.0-175
haskell-mountpoints 1.0.2-24
haskell-network-info 0.2.1-1
haskell-pcg-random 0.1.4.0-19
haskell-persistent-sqlite 2.13.1.0-124
haskell-quic 0.1.5-16
haskell-sandi 0.5-429
haskell-securemem 0.1.10-284
haskell-skein 1.0.9.4-51
haskell-text-icu 0.8.0.4-13
haskell-tf-random 0.5-685
haskell-tidal-link 1.0.1-1
haskell-unix-time 0.4.12-1
haskell-vault 0.3.1.5-175
haskell-zlib 0.6.3.0-56
haskell-zlib-bindings 0.1.1.5-154
hatari 2.4.1-2
haveged 1.9.18-1
haxe 4.3.3-1
hcxdumptool 6.3.2-1
hcxkeys 6.2.1-2
hcxtools 6.3.2-1
hdapsd 20141203-4
hddtemp 0.3.beta15.53-3
hdf5 1.14.3-1
hdf5-openmpi 1.14.3-2
hdparm 9.65-1
heaptrack 1.5.0-3
hedgewars 1.0.2-75
hefur 1.0-11
heimdall 1.4.2-7
helm-synth 0.9.0-10
hepmc 3.2.6-6
hepmc2 2.06.11-3
herbstluftwm 0.9.5-1
hexchat 2.16.2-1
hexedit 1.6-1
hexer 1.0.6-1
hexer-hobu 1.4.0-11
hexter 1.1.1-2
hidapi 0.14.0-2
highlight 4.10-1
highway 1.1.0-1
hip-runtime-amd 6.0.0-1
hipblas 6.0.0-1
hipblaslt 6.0.0-1
hipcub 6.0.0-1
hipfft 6.0.0-1
hipify-clang 6.0.0-1
hiprand 6.0.0-1
hipsolver 6.0.0-1
hipsparse 6.0.0-1
hiredis 1.2.0-2
hitch 1.8.0-1
hitori 44.0-1
hivex 1.3.23-3
hm 18.0-1
hoel 1.4.29-1
homebank 5.7.4-1
horst 5.1-2
hostapd 2.10-4
hotdoc 0.15-1
howl 0.6-2
hplip 1:3.23.12-2
hsa-rocr 6.0.0-2
hsakmt-roct 6.0.0-1
hsetroot 1.0.5-1
hspell 1.4-5
hss 1.9-1
html-xml-utils 8.6-1
htmlcxx 0.87-4
htmldoc 1.9.18-1
htop 3.3.0-1
http-parser 2.9.4-1
httping 2.9-1
httptunnel 3.3-8
httrack 3.49.4-1
hugin 2023.0.0-1
hunspell 1.7.2-1
hwinfo 23.2-1
hwloc 2.10.0-1
hydra 9.5-1
hydrogen 1.2.3-1
hyperscan 5.4.2-1
hyphen 2.8.8-5
hyprland 0.35.0-2
hyprlang 0.4.1-1
hyprpaper 0.6.0-3
i2c-tools 4.3-4
i2pd 2.50.2-1
i3-wm 4.23-1
i3blocks 1.5-4
i3lock 2.14.1-1
i3status 2.14-1
iaito 5.8.8-1
ibm-sw-tpm2 1682-2
ibus 1.5.29-3
ibus-chewing 2.0.0-1
ibus-hangul 1.5.5-1
ibus-kkc 1.5.22-3
ibus-libpinyin 1.15.3-1
ibus-m17n 1.4.27-1
ibus-pinyin 1.5.0-8
ibus-rime 1.5.0-1
ibus-sunpinyin 3.0.0rc1+32+gf39c195-3
ibus-unikey 0.6.1-7
icecast 2.4.4-5
icedtea-web 1.8.8-1
icewm 3.4.5-1
icmake 10.03.03-1
icoutils 0.32.3-3
id3lib 3.8.3-18
id3v2 0.1.12-6
iddawc 1.1.9-1
idle3-tools 0.9.1-7
idris 1.3.4-190
iec16022 0.3.1-1
iempluginsuite 1.14.1-2
ifplugd 0.28-17
iftop 1.0pre4-5
ifuse 1.1.4-4
igmpproxy 0.4-1
igraph 0.10.10-1
igsc 0.8.13-1
iio-sensor-proxy 3.5-2
ijs 0.35-6
imagemagick 7.1.1.29-2
imagescan 3.65.0-10
imake 1.0.10-1
imath 3.1.11-1
iml 1.0.5-3
imlib 1.9.15-18
imlib2 1.12.2-2
immer 0.8.1-1
imv 4.4.0-4
imwheel 1.0.0pre12-6
inadyn 2.12.0-1
incidenceeditor 23.08.5-1
incron 0.5.12-5
incus 0.6.0-1
indent 2.2.13-1
index-fm 3.1.0-1
indicator-china-weather 3.0.4-1
inetutils 2.5-1
infamousplugins 0.3.2-1
iniparser 4.1-4
inkscape 1.3.2-3
inn 2.7.1-2
innoextract 1.9-9
inotify-tools 4.23.9.0-1
inspectrum 0.2.3-3
intel-compute-runtime 23.48.27912.11-1
intel-gmmlib 22.3.17-1
intel-gpu-tools 1.27-2
intel-graphics-compiler 1:1.0.15610.11-1
intel-media-driver 24.1.3-1
intel-media-sdk 23.2.2-2
intel-metee 3.2.4-1
intel-undervolt 1.7-2
intellij-idea-community-edition 4:2023.3.4-1
interception-caps2esc 0.3.2-2
interception-tools 0.6.8-7
io 2017.09.06-9
iodine 0.8.0-1
ioping 1.3-1
iotop-c 1.26-2
iperf 2.1.9-1
iperf3 3.16-1
ipguard 1.04-8
ipmitool 1.8.19-2
iproute2 6.7.0-1
ipset 7.20-1
iptables 1:1.8.10-1
iptraf-ng 1.2.1-1
iptstate 2.2.7-1
iptux 0.8.4-2
iputils 20240117-1
ipv6calc 4.1.0-1
ipvsadm 1.31-2
ipxe 1.21.1-5
irqbalance 1.9.3-2
irssi 1.4.5-1
irssi-xmpp 0.54-3
isatapd 0.9.7-7
isomd5sum 1.2.4-1
ispc 1.22.0-1
ispell 3.4.05-1
ispin 6.5.0-2
isync 1.4.4-4
itinerary 23.08.5-1
iucode-tool 2.3.1-4
iw 6.7-1
iwd 2.15-1
j4-dmenu-desktop 2.18-4
jaaa 0.9.2-2
jack-example-tools 4-1
jack-stdio 1.6-2
jack2 1.9.22-1
jack_capture 0.9.73-8
jack_delay 0.4.2-2
jack_mixer 18-1
jack_utils 0.0.1-2
jackmeter 0.4-3
jackminimix 0.2.1-3
jacktrip 1:2.2.2-1
jalv 1.6.8-2
jami-daemon 20231123-1
jami-qt 20231201.0-1
jansson 2.14-2
japa 0.9.4-3
jasper 4.2.1-1
java-atk-wrapper 0.40.0-2
java-commons-daemon 1.3.4-1
java-openjdk 21.0.2.u13-3
java-rxtx 2.2pre2-9
java11-openjdk 11.0.22.u7-1
java17-openjdk 17.0.10.u7-1
java8-openjdk 8.402.u06-1
jbig2dec 0.20-1
jbigkit 2.1-7
jc303 0.9.1-2
jconvolver 1.1.0-3
jellyfin-ffmpeg 1:6.0.1p1-2
jemalloc 1:5.3.0-3
jfsutils 1.1.15-8
jgmenu 4.4.1-1
jhead 3.08-1
jitterentropy 3.4.1-1
jnettop 0.13.0-9
jnoisemeter 0.4.1-1
jo 1.9-1
john 1.9.0.jumbo1-10
jomon 0.3.1-1
jose 11-2
joyutils 1.8.1-1
jp2a 1.2.0-1
jpeg-archive 2.2.0-3
jpegoptim 1.5.5-1
jq 1.7.1-1
js102 102.15.0-1
js115 115.8.0-1
js80p 2.4.4-2
js91 91.13.0-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
jsonrpc-glib 3.44.0-1
juce 7.0.10-1
judy 1.0.5-7
juk 23.08.5-1
julia 2:1.10.1-2
jupymake 0.9-19
jxrlib 0.2.4-2
k3b 1:23.08.5-1
kaccounts-integration 23.08.5-1
kactivities-stats5 5.115.0-1
kactivities5 5.115.0-1
kactivitymanagerd 5.27.10-1
kaddressbook 23.08.5-1
kaffeine 2.0.18-4
kaidan 0.9.1-4
kakasi 2.3.6-3
kakoune 2023.07.29-1
kalarm 23.08.5-1
kalgebra 23.08.5-1
kalk 23.08.5-1
kalzium 23.08.5-1
kamera 23.08.5-1
kamoso 23.08.5-1
kanagram 23.08.5-1
kanshi 1.5.1-1
kapman 23.08.5-1
kapptemplate 23.08.5-1
karchive5 5.115.0-1
kasts 23.08.5-1
kate 23.08.5-1
katomic 23.08.5-1
kauth5 5.115.0-1
kbackup 23.08.5-1
kbd 2.6.4-1
kbibtex 1:0.10.0-4
kblackbox 23.08.5-1
kblocks 23.08.5-1
kbookmarks5 5.115.0-1
kbounce 23.08.5-1
kbruch 23.08.5-1
kcachegrind 23.08.5-1
kcalc 23.08.5-1
kcalendarcore5 5.115.0-1
kcalutils 23.08.5-1
kchmviewer 8.0-5
kclock 23.08.5-1
kcm-fcitx 0.5.6-2
kcm-wacomtablet 1:3.2.0-7
kcmutils5 5.115.0-1
kcodecs5 5.115.0-1
kcolorpicker 0.3.0-3
kcompletion5 5.115.0-1
kconfig5 5.115.0-1
kconfigwidgets5 5.115.0-1
kcontacts5 5.115.0-1
kcoreaddons5 5.115.0-1
kcov 42-1
kcrash5 5.115.0-1
kcron 23.08.5-1
kdav5 1:5.115.0-1
kdb 3.2.0-13
kdbg 3.1.0-1
kdbusaddons5 5.115.0-1
kde-cli-tools 5.27.10-1
kde-gtk-config 5.27.10-1
kdebugsettings 23.08.5-1
kdeclarative5 5.115.0-1
kdeconnect 23.08.5-1
kdecoration 5.27.10-1
kdegraphics-mobipocket 23.08.5-1
kdegraphics-thumbnailers 23.08.5-1
kdelibs4support 5.115.0-1
kdenetwork-filesharing 23.08.5-1
kdenlive 23.08.5-1
kdepim-addons 23.08.5-1
kdepim-runtime 23.08.5-1
kdeplasma-addons 5.27.10-2
kdesu5 5.115.0-1
kdesvn 2.1.0-4
kdevelop 23.08.5-1
kdevelop-pg-qt 2.2.2-1
kdevelop-php 23.08.5-1
kdevelop-python 23.08.5-1
kdf 23.08.5-1
kdiagram5 2.8.0-1
kdialog 23.08.5-1
kdiamond 23.08.5-1
kdiff3 1.10.7-2
kdiskmark 3.1.4-1
kdnssd5 5.115.0-1
kdsoap 2.2.0-1
kea 2.4.1-1
keditbookmarks 23.08.5-1
keepalived 2.2.8-1
keepassxc 2.7.6-3
kemoticons 5.115.0-1
kernel-headers-musl 4.19.88-2
kernelshark 2.3.0-1
kexec-tools 2.0.26-1
kexi 3.2.0-5
keysmith 23.08.5-1
keystone 0.9.2-5
keyutils 1.6.3-2
kfilemetadata5 5.115.0-1
kfind 23.08.5-1
kfourinline 23.08.5-1
kgamma 5.27.10-2
kgeography 23.08.5-1
kget 23.08.5-1
kglobalaccel5 5.115.0-1
kgoldrunner 23.08.5-1
kgpg 23.08.5-1
kgraphviewer 2.4.3-5
kguiaddons5 5.115.0-1
khealthcertificate 23.01.0-2
khelpcenter 23.08.5-1
kholidays5 1:5.115.0-1
khotkeys 5.27.10-1
khtml 5.115.0-1
ki18n5 5.115.1-1
kicad 7.0.10-1
kiconthemes5 5.115.0-1
kid3 3.9.5-1
kidentitymanagement 23.08.5-1
kidletime5 5.115.0-1
kig 23.08.5-1
kigo 23.08.5-1
kile 2.9.93-5
killbots 23.08.5-1
kimageannotator 0.7.0-3
kimageformats5 5.115.0-2
kimagemapeditor 23.08.5-1
kimap 23.08.5-1
kimtoy 1.92-5
kinfocenter 5.27.10-1
kinit 5.115.0-1
kio-admin 23.08.5-1
kio-extras 23.08.5-1
kio-fuse 5.1.0-1
kio-gdrive 23.08.5-1
kio5 5.115.0-1
kirigami-addons5 0.11.0-7
kirigami2 5.115.0-1
kiriki 23.08.5-1
kismet 2023_07_R1-6
kitemmodels5 5.115.0-1
kitemviews5 5.115.0-1
kiten 23.08.5-1
kitinerary 23.08.5-1
kitty 0.31.0-1
kiwix-desktop 2.3.1-5
kiwix-tools 3.5.0-3
kjobwidgets5 5.115.0-1
kjots 5.1.1-3
kjournald 23.08.5-1
kjs 5.115.0-1
kjumpingcube 23.08.5-1
klavaro 3.14-1
klayout 0.28.15-1
kldap 23.08.5-1
kleopatra 23.08.5-1
klettres 23.08.5-1
klickety 23.08.5-1
klines 23.08.5-1
klipper 0.12.0-2
klystrack-plus 0.10.0.alpha2-1
kmag 23.08.5-1
kmahjongg 23.08.5-1
kmail 23.08.5-1
kmail-account-wizard 23.08.5-1
kmailtransport 23.08.5-1
kmbox 23.08.5-1
kmenuedit 5.27.10-1
kmidimon 1.4.0-1
kmime 23.08.5-1
kmines 23.08.5-1
kmix 23.08.5-1
kmod 31-1
kmouth 23.08.5-1
kmplot 23.08.5-1
kmymoney 5.1.3-11
knavalbattle 23.08.5-1
knetwalk 23.08.5-1
knewstuff5 5.115.0-1
knights 23.08.5-1
knot 3.3.3-1
knot-resolver 5.7.1-1
knotes 23.08.5-1
knotifications5 5.115.0-1
kodi 20.4-1
kodi-addon-imagedecoder-heif 20.1.0-10
kodi-addon-inputstream-adaptive 20.3.18-1
kodi-addon-peripheral-joystick 20.1.15-2
kodi-addon-screensaver-matrixtrails 1:20.1.0-9
kodi-addon-visualization-shadertoy 1:20.3.0-10
koko 23.08.5-1
kolf 23.08.5-1
kollision 23.08.5-1
kolourpaint 23.08.5-1
kommit 1.3.1-1
kompare 23.08.5-1
kongress 23.08.5-1
konqueror 23.08.5-1
konquest 23.08.5-1
konsole 23.08.5-1
kontact 23.08.5-1
kontactinterface 23.08.5-1
konversation 23.08.5-1
kopeninghours 23.08.5-1
kopete 23.08.5-1
korganizer 23.08.5-1
kosmindoormap 23.08.5-1
kpackage5 5.115.0-1
kparts5 5.115.0-1
kpat 23.08.5-1
kpeople5 5.115.0-1
kpeoplevcard 0.1-2
kphotoalbum 5.12.0-1
kpimtextedit 23.08.5-1
kpipewire 5.27.10-1
kpkpass 23.08.5-1
kplotting5 5.115.0-1
kpmcore 23.08.5-1
kproperty 3.2.0-4
kpty5 5.115.0-1
kpublictransport 23.08.5-1
kqtquickcharts 23.08.5-1
kquickcharts5 5.115.0-1
kquickimageeditor 0.3.0-2
krb5 1.21.2-2
krdc 23.08.5-1
krename 5.0.2-9
kreport 3.2.0-4
kreversi 23.08.5-1
krfb 23.08.5-1
krita 5.2.2-5
krita-plugin-gmic 3.2.4.1-5
kronometer 2.3.0-2
kross 5.115.0-1
krunner5 5.115.0-1
krusader 2.8.0-2
ksanecore 23.08.5-1
kscreen 5.27.10-1
kscreenlocker 5.27.10-1
kseexpr 4.0.4.0-1
kservice5 5.115.0-1
ksh 2020.0.0-3
kshisen 23.08.5-1
kshutdown 5.2-2
ksirk 23.08.5-1
ksmtp 23.08.5-1
ksnakeduel 23.08.5-1
ksnip 1.10.1-2
kspaceduel 23.08.5-1
ksquares 23.08.5-1
kstars 1:3.6.9-1
ksudoku 23.08.5-1
ksysguard 5.22.0-2
ksystemlog 23.08.5-1
ksystemstats 5.27.10-1
ktextaddons 1.5.3-1
ktexteditor5 5.115.0-1
ktextwidgets5 5.115.0-1
ktikz 0.13.2-2
ktimetracker 5.0.1-2
ktnef 23.08.5-1
ktoblzcheck 1.53-5
ktorrent 23.08.5-1
ktouch 23.08.5-1
ktuberling 23.08.5-1
kturtle 23.08.5-1
kubrick 23.08.5-1
kuickshow 0.10.2-2
kunitconversion5 5.115.0-1
kup 0.9.1-9
kuserfeedback5 1.3.0-4
kvantum 1.0.10-2
kvazaar 2.3.0-2
kvirc 5.2.0-2
kwallet-pam 5.27.10-1
kwallet5 5.115.0-1
kwalletmanager 23.08.5-1
kwave 23.08.5-1
kwayland-integration 5.27.10-1
kwayland5 5.115.0-1
kweather 23.08.5-1
kweathercore 0.7-3
kwidgetsaddons5 5.115.0-1
kwin 5.27.10-2
kwindowsystem5 5.115.0-1
kwordquiz 23.08.5-1
kxmlgui5 5.115.0-1
kylin-nm 3.0.2-2
l-smash 2.14.5-3
l3afpad 0.8.18.1.11-7
lablgtk3 3.1.3-4
labplot 2.10.1-6
ladspa 1.17-4
lager 0.1.1-1
lame 3.100-4
lapack 3.12.0-3
lasem 0.4.4-2
lastpass-cli 1.3.5-1
laszip 3.4.3-1
laszip2 2.2.0-1
latex2rtf 2.3.18-1
latte-integrale 1.7.6-2
launchy 2.9.1pre.1-2
layer-shell-qt 5.27.10-1
laz-perf 2:3.0.0-1
lazarus 3.2-1
lbreakout2 2.6.5-3
lbzip2 2.5-5
lcalc 2.0.5-2
lcdproc 0.5.9-8
lcms2 2.16-1
ldb 2:2.8.0-1
ldc 3:1.36.0-1
ldns 1.8.3-2
leafpad 0.8.19-2
leatherman 1.12.9-3
ledger 3.3.2-4
lensfun 1:0.3.4-3
leocad 23.03-2
leptonica 1.84.1-2
less 1:643-1
level-zero 1.15.1-1
leveldb 1.23-3
lftp 4.9.2-2
lgi 0.9.2-10
lhapdf 6.5.4-1
lhasa 0.3.1-3
lib2geom 1.3-1
lib3mf 2.2.0-1
libaacs 0.11.1-2
libabigail 2.4-1
libabw 0.1.3-3
libaccounts-glib 1.26-2
libaccounts-qt 1.16-3
libad9361 0.3-1
libadwaita 1:1.4.3-1
libaec 1.1.2-1
libafterimage 1.20-7
libaio 0.3.113-3
libalkimia 8.1.2-2
libantlr3c 3.5.3-1
libao 1.2.2-6
libappimage 1.0.4.5-5
libappindicator 12.10.0.r298-3
libarchive 3.7.2-1
libass 0.17.1-2
libassuan 2.5.6-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libatomic_ops 7.8.0-1
libavc1394 0.5.4-6
libavif 1.0.4-1
libavtp 0.2.0-2
libaxc 0.3.7-1
libayatana-appindicator 0.5.93-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-2
libb64 1.2.1-4
libbf 2020.01.19-1
libblastrampoline 5.8.0-1
libblockdev 3.1.0-1
libbluray 1.3.4-1
libbobcat 6.02.02-1
libbpf 1.3.0-1
libbraiding 1.2-1
libbs2b 3.1.0-8
libbsd 0.12.1-1
libburn 1.5.6-1
libc++ 16.0.6-1
libcaca 0.99.beta20-2
libcacard 2.7.0-3
libcalfbox-lss 1.2.0-1
libcamera 0.2.0-1
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.69-3
libcap-ng 0.8.4-1
libcbor 0.11.0-1
libcdaudio 0.99.12.p2-3
