0ad a26-12
antiword 0.37-10
antlr4 4.13.1-1
antlr4-runtime 4.13.1-1
anura 4.0.2-1
anything-sync-daemon 6.0.0-2
aom 3.8.1-1
apache 2.4.58-1
apache-orc 1.9.0-5
apcupsd 3.14.14-7
apitrace 11.1-2
apk-tools 2.14.0-1
apko 0.14.0-1
apksigcopier 1.1.1-2
apparmor 3.1.7-1
appmenu-gtk-module 0.7.6-1
apprise 1.7.2-1
appstream 1.0.1-2
appstream-generator 0.9.1-2
appstream-glib 0.8.2-3
apptainer 1.2.5-1
apr 1.7.4-1
apr-util 1.6.3-1
apt 2.7.10-1
aqbanking 6.5.4-1
arandr 0.1.11-2
arbtt 0.12.0.3-14
arc-gtk-theme 20221218-1
arc-icon-theme 20161122-3
arch-audit 0.1.20-2
arch-audit-gtk 0.3.1-1
arch-hs 0.11.1.0-112
arch-install-scripts 28-1
arch-rebuild-order 0.4.2-1
arch-release-promotion 0.3.0-1
arch-repro-status 1.3.11-1
arch-signoff 0.5.2-3
arch-wiki-docs 20240103-1
arch-wiki-lite 20240103-1
archey3 0.5-14
archinstall 2.7.1-1
archiso 75-1
archivetools 3-3
archlinux-appstream-data 20240112-1
archlinux-contrib 20221211-2
archlinux-keyring 20240208-1
archlinux-repro 20240216-1
archlinux-themes-slim 1.2-6
archlinux-userland-fs-cmp 0.1.0-1
archlinux-wallpaper 1.6.1-6
archlinux-xdg-menu 0.7.6.6-1
ardour 8.2-3
arduino 1:1.8.19-2
arduino-avr-core 1.8.3-2
arduino-builder 1.6.1-2
arduino-cli 0.35.2-1
arduino-ctags 5.8_arduino11-4
arduino-docs 1.6.6-8
arduino-language-server 0.7.6-1
argbash 2.10.0-2
argocd 2.10.1-1
argon2 20190702-5
argtable 2.13-5
argyllcms 3.1.0-1
aria2 1.37.0-1
arianna 23.08.5-1
aribb24 1.0.3-3
aribb25 0.2.7-2
ario 1.6-3
arj 3.10.22-13
ark 23.08.5-1
arm-none-eabi-binutils 2.41-1
arm-none-eabi-gcc 13.2.0-2
arm-none-eabi-gdb 13.2-1
arm-none-eabi-newlib 4.3.0.20230120-1
armagetronad 0.2.9.1.1-2
arp-scan 1.10.0-4
arpack 3.9.1-2
arpwatch 3.6-1
arrayfire 3.9.0-2
arrow 15.0.0-2
arti 1.1.13-1
artikulate 23.08.5-1
artyfx 1.3.1-2
asar 3.2.8-1
ascii 3.18-3
asciidoc 10.2.0-4
asciidoctor 2.0.20-1
asciinema 2.4.0-1
asciiquarium 1.1-6
asio 1.28.0-1
aspell 0.60.8.1-2
aspell-ca 2.5.0-2
aspell-cs 20040614-10
aspell-da 4.2.1-1
aspell-de 20161207.7.0-1
aspell-el 0.08-5
aspell-en 2020.12.07-1
aspell-es 1.11-9
aspell-fr 0.50.3-10
aspell-hu 0.99.4.2-6
aspell-it 2.4_20070901-1
aspell-nb 0.50.1-3
aspell-nl 0.50.2-7
aspell-nn 0.50.1-6
aspell-pl 20230701-1
aspell-pt 20220621-1
aspell-ru 0.99f7.1-1
aspell-sv 0.51-4
aspell-uk 1.8.0-3
asplib 20160310.da66f51-4
assimp 5.3.1-1
astroid 0.16-11
astromenace 1.4.2-1
astyle 3.4.10-1
asunder 3.0.1-1
asymptote 2.86-4
at 3.2.5-2
at-spi2-core 2.50.1-1
at51 1.0.0-4
atftp 0.8.0-3
atkinson-hyperlegible-font 1.006-1
atkmm 2.28.4-1
atkmm-2.36 2.36.3-1
