0ad a26-12
haskell-crypto-pubkey-types 0.4.3-332
haskell-crypto-random 0.0.9-329
haskell-crypto-token 0.0.2-8
haskell-cryptohash 0.11.9-339
haskell-cryptohash-md5 0.11.101.0-97
haskell-cryptohash-sha1 0.11.101.0-79
haskell-cryptohash-sha256 0.11.102.1-87
haskell-crypton 0.34-7
haskell-crypton-conduit 0.2.3-39
haskell-crypton-connection 0.3.2-3
haskell-crypton-x509 1.7.6-24
haskell-crypton-x509-store 1.6.9-24
haskell-crypton-x509-system 1.6.7-24
haskell-crypton-x509-validation 1.6.12-24
haskell-cryptonite 0.30-69
haskell-cryptonite-conduit 0.2.2-618
haskell-css-text 0.1.3.0-280
haskell-csv 0.1.2-25
haskell-curve25519 0.2.8-6
haskell-czipwith 1.0.1.4-2
haskell-data-accessor 0.2.3.1-1
haskell-data-accessor-transformers 0.2.1.8-1
haskell-data-array-byte 0.1.0.1-47
haskell-data-binary-ieee754 0.4.4-21
haskell-data-bword 0.1.0.2-1
haskell-data-checked 0.3-23
haskell-data-clist 0.2-65
haskell-data-default 0.7.1.1-300
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-base 0.1.0.1-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-313
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-dword 0.3.2.1-80
haskell-data-endian 0.1.1-23
haskell-data-fix 0.3.2-98
haskell-data-functor-logistic 0.0-37
haskell-data-hash 0.2.0.1-24
haskell-data-inttrie 0.1.4-1
haskell-data-memocombinators 0.5.1-1
haskell-data-ordlist 0.4.7.0-25
haskell-data-serializer 0.3.5-196
haskell-data-textual 0.3.0.3-317
haskell-data-tree-print 0.1.0.2-143
haskell-dataenc 0.14.0.7-30
haskell-dav 1.3.4-640
haskell-dbus 1.2.22-212
haskell-dbus-hslogger 0.1.0.1-475
haskell-dec 0.0.5-4
haskell-decimal 0.5.2-122
haskell-deepseq-generics 0.2.0.0-23
haskell-deferred-folds 0.9.18.6-12
haskell-dense-linear-algebra 0.1.0.0-285
haskell-dependent-map 0.4.0.0-220
haskell-dependent-sum 0.7.2.0-63
haskell-dependent-sum-template 0.1.1.1-136
haskell-deque 0.4.4.1-21
haskell-deriving-aeson 0.2.9-57
haskell-deriving-compat 0.6.5-17
haskell-diff 0.4.1-71
haskell-digest 0.0.1.7-1
haskell-digits 0.3.1-17
haskell-dir-traverse 0.2.3.0-1
haskell-direct-sqlite 2.3.29-3
haskell-disk-free-space 0.1.0.1-24
haskell-distributive 0.6.2.1-205
haskell-djinn-lib 0.0.1.4-1
haskell-dlist 1.0-235
haskell-dlist-instances 0.1.1.1-209
haskell-dns 4.1.1-7
haskell-doclayout 0.4.0.1-25
haskell-docopt 0.7.0.7-1
haskell-doctemplates 0.11-61
haskell-doctest 0.20.1-70
haskell-doctest-discover 0.2.0.0-60
haskell-doctest-driver-gen 0.3.0.8-6
haskell-doctest-exitcode-stdio 0.0-128
haskell-doctest-lib 0.1.1-9
haskell-doctest-parallel 0.2.4-70
haskell-dotgen 0.4.3-8
haskell-double-conversion 2.0.5.0-1
haskell-dyre 0.9.2-1
haskell-easy-file 0.2.5-17
haskell-echo 0.1.4-4
haskell-ed25519 0.0.5.0-24
haskell-edisonapi 1.3.3-1
haskell-edisoncore 1.3.3-34
haskell-edit-distance 0.2.2.1-203
haskell-edit-distance-vector 1.0.0.4-334
haskell-either 5.0.2-107
haskell-email-validate 2.3.2.19-17
haskell-emojis 0.1.3-6
haskell-enclosed-exceptions 1.0.3-249
haskell-entropy 0.4.1.10-1
haskell-enummapset 0.7.2.0-15
haskell-equivalence 0.4.1-45
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-70
haskell-esqueleto 3.5.8.0-2
haskell-exact-pi 0.5.0.2-57
haskell-executable-path 0.0.3.1-20
haskell-expiring-cache-map 0.0.6.1-310
haskell-extensible-exceptions 0.1.1.4-36
haskell-extra 1.7.14-28
haskell-fast-logger 3.1.2-63
haskell-fclabels 2.0.5.1-108
haskell-fdo-notify 0.3.1-724
haskell-feed 1.3.2.1-151
haskell-fgl 5.8.2.0-4
haskell-fgl-arbitrary 0.2.0.6-126
haskell-file-embed 0.0.15.0-1
haskell-filelock 0.1.1.7-8
haskell-filemanip 0.3.6.3-138
haskell-filepath-bytestring 1.4.2.1.9-79
haskell-filepattern 0.1.3-81
haskell-filestore 0.6.5-45
haskell-filtrable 0.1.6.0-179
haskell-fin 0.3-20
haskell-findbin 0.0.5-19
haskell-fingertree 0.1.5.0-65
haskell-finite-typelits 0.1.6.0-40
haskell-first-class-families 0.8.0.1-4
haskell-flexible-defaults 0.0.3-149
haskell-floatinghex 0.5-6
haskell-floskell 0.10.8-9
haskell-fmlist 0.9.4-7
haskell-focus 1.0.3.2-20
haskell-fold-debounce 0.2.0.10-27
haskell-foldable1-classes-compat 0.1-57
haskell-foldl 1.4.15-33
haskell-foundation 0.0.30-16
haskell-fourmolu 0.4.0.0-115
haskell-free 5.1.10-60
haskell-fsnotify 0.4.0.0-58
haskell-fsnotify0.3 0.3.0.1-58
haskell-fuzzy 0.1.1.0-11
haskell-gauge 0.2.5-220
haskell-generic-data 1.0.0.1-64
haskell-generic-deriving 1.14.5-17
haskell-generic-lens 2.2.2.0-36
haskell-generic-lens-core 2.2.1.0-2
haskell-generic-lens-lite 0.1-7
haskell-generic-random 1.5.0.1-82
haskell-generic-trie 0.3.2-1
haskell-generically 0.1.1-1
haskell-generics-sop 0.5.1.3-1
haskell-geniplate-mirror 0.7.9-1
haskell-genvalidity 1.1.0.0-39
haskell-genvalidity-hspec 1.0.0.3-6
haskell-genvalidity-property 1.0.0.0-87
haskell-getopt-generics 0.13.1.0-26
haskell-ghc-bignum-orphans 0.1.1-1
haskell-ghc-check 0.5.0.8-39
haskell-ghc-exactprint 0.6.4-207
haskell-ghc-lib-parser 8.10.5.20210606-2
haskell-ghc-lib-parser-ex 9.0.0.6-77
haskell-ghc-parser 0.2.5.0-1
haskell-ghc-paths 0.1.0.12-12
haskell-ghc-source-gen 0.4.4.0-4
haskell-ghc-tcplugins-extra 0.4.5-1
haskell-ghc-trace-events 0.1.2.8-1
haskell-ghc-typelits-extra 0.4.4-31
haskell-ghc-typelits-knownnat 0.7.8-4
haskell-ghc-typelits-natnormalise 0.7.8-1
haskell-ghcide 1.9.1.0-60
haskell-ghcide-test-utils 1.8.0.0-187
haskell-gi 0.26.4-58
haskell-gi-atk 2.0.27-57
haskell-gi-base 0.26.4-1
haskell-gi-cairo 1.0.29-43
haskell-gi-cairo-connector 0.1.1-115
haskell-gi-cairo-render 0.1.2-35
haskell-gi-dbusmenu 0.4.13-5
haskell-gi-dbusmenugtk3 0.4.14-1
haskell-gi-freetype2 2.0.4-41
haskell-gi-gdk 4.0.7-55
haskell-gi-gdk3 3.0.25-128
haskell-gi-gdk3x11 3.0.12-130
haskell-gi-gdkpixbuf 2.0.31-16
haskell-gi-gdkx11 4.0.7-62
haskell-gi-gio 2.0.32-53
haskell-gi-glib 2.0.29-47
haskell-gi-gmodule 2.0.5-52
haskell-gi-gobject 2.0.30-57
haskell-gi-graphene 1.0.7-40
haskell-gi-gsk 4.0.7-40
haskell-gi-gtk 4.0.8-24
haskell-gi-gtk-hs 0.3.16-8
haskell-gi-gtk3 3.0.38-130
haskell-gi-harfbuzz 0.0.9-39
haskell-gi-overloading 1.0-1
haskell-gi-pango 1.0.29-60
haskell-gi-xlib 2.0.13-1
haskell-gio 0.13.10.0-19
haskell-git-lfs 1.2.2-1
haskell-githash 0.1.6.3-115
haskell-gitrev 1.3.1-31
haskell-glib 0.13.10.0-9
haskell-glob 0.10.2-86
haskell-gnuidn 0.2.2-201
haskell-gnutls 0.2-25
haskell-graphite 0.10.0.1-203
haskell-graphscc 1.0.4-25
haskell-graphviz 2999.20.1.0-194
haskell-gridtables 0.1.0.0-44
haskell-groups 0.5.3-1
haskell-gsasl 0.3.7-11
haskell-gtk-sni-tray 0.1.8.1-150
haskell-gtk-strut 0.1.3.2-129
haskell-gtk2hs-buildtools 0.13.10.0-1
haskell-gtk3 0.15.7-64
haskell-hackage-db 2.1.3-38
haskell-hackage-security 0.6.2.4-8
haskell-haddock-library 1.11.0-5
haskell-hadrian 0.1.0.0-161
haskell-hakyll 4.16.0.0-128
haskell-half 0.3.1-147
haskell-happstack-server 7.9.0-5
haskell-hashable 1.4.3.0-36
haskell-hashable-time 0.3-110
haskell-hashtables 1.3.1-34
haskell-hasql 1.5.0.4-103
haskell-hasql-dynamic-statements 0.3.1.1-82
haskell-hasql-implicits 0.1.0.5-122
haskell-hasql-notifications 0.2.0.4-4
haskell-hasql-pool 0.5.2.2-204
haskell-hasql-transaction 1.0.1.1-224
haskell-heaps 0.4-4
haskell-heapsize 0.3.0.1-209
haskell-hedgehog 1.2-9
haskell-hedgehog-classes 0.2.5.4-62
haskell-here 1.2.14-11
haskell-heredoc 0.2.0.0-23
haskell-hex 0.2.0-1
haskell-hgmp 0.1.2.1-13
haskell-hi-file-parser 0.1.6.0-1
haskell-hie-bios 0.11.0-74
haskell-hie-compat 0.3.0.0-1
haskell-hiedb 0.4.2.0-60
haskell-hinotify 0.4.1-167
haskell-hint 0.9.0.6-39
haskell-hjsmin 0.2.0.4-221
haskell-hledger-lib 1.32.1-15
haskell-hls-alternate-number-format-plugin 1.3.0.0-146
haskell-hls-brittany-plugin 1.1.0.0-154
haskell-hls-cabal-fmt-plugin 0.1.0.0-146
haskell-hls-cabal-plugin 0.1.0.0-146
haskell-hls-call-hierarchy-plugin 1.2.0.0-146
haskell-hls-change-type-signature-plugin 1.1.0.0-146
haskell-hls-class-plugin 1.1.1.0-146
haskell-hls-code-range-plugin 1.1.0.0-146
haskell-hls-eval-plugin 1.4.0.0-146
haskell-hls-explicit-fixity-plugin 1.1.0.0-146
haskell-hls-explicit-imports-plugin 1.2.0.0-146
haskell-hls-explicit-record-fields-plugin 1.0.0.0-146
haskell-hls-floskell-plugin 1.0.2.0-149
haskell-hls-fourmolu-plugin 1.1.1.0-155
haskell-hls-gadt-plugin 1.0.1.0-146
haskell-hls-graph 1.9.0.0-103
haskell-hls-haddock-comments-plugin 1.1.1.0-146
haskell-hls-hlint-plugin 1.1.2.0-35
haskell-hls-module-name-plugin 1.1.1.0-146
haskell-hls-ormolu-plugin 1.0.4.0-37
haskell-hls-plugin-api 1.6.0.0-116
haskell-hls-pragmas-plugin 1.0.4.0-146
haskell-hls-qualify-imported-names-plugin 1.0.2.0-146
haskell-hls-refactor-plugin 1.1.0.0-146
haskell-hls-refine-imports-plugin 1.0.4.0-146
haskell-hls-rename-plugin 1.0.2.0-146
haskell-hls-retrie-plugin 1.0.3.0-146
haskell-hls-splice-plugin 1.0.3.0-146
haskell-hls-stylish-haskell-plugin 1.0.1.2-147
haskell-hls-tactics-plugin 1.8.0.0-150
haskell-hls-test-utils 1.5.0.0-146
haskell-hoauth2 2.7.0-1
haskell-hookup 0.8-6
haskell-hopenpgp 2.9.8-169
haskell-hosc 0.20-31
haskell-hostname 1.0-25
haskell-hourglass 0.2.12-242
haskell-hpack 0.35.2-98
haskell-hs-bibutils 6.10.0.0-146
haskell-hscolour 1.25-1
haskell-hsini 0.5.2.2-7
haskell-hslogger 1.3.1.0-226
haskell-hslua 2.3.0-39
haskell-hslua-aeson 2.3.0.1-22
haskell-hslua-classes 2.3.0-41
haskell-hslua-core 2.3.1-35
haskell-hslua-list 1.1.1-48
haskell-hslua-marshalling 2.3.0-36
haskell-hslua-module-doclayout 1.1.0-45
haskell-hslua-module-path 1.1.0-40
haskell-hslua-module-system 1.1.0.1-14
haskell-hslua-module-text 1.1.0.1-14
haskell-hslua-module-version 1.1.0-40
haskell-hslua-module-zip 1.1.1-7
haskell-hslua-objectorientation 2.3.0-36
haskell-hslua-packaging 2.3.1-1
haskell-hslua-repl 0.1.2-1
haskell-hslua-typing 0.1.0-36
haskell-hsopenssl 0.11.7.6-18
haskell-hsopenssl-x509-system 0.1.0.4-50
haskell-hspec 2.10.9-93
haskell-hspec-attoparsec 0.1.0.2-178
haskell-hspec-contrib 0.5.2-22
haskell-hspec-core 2.10.9-85
haskell-hspec-discover 2.10.9-43
haskell-hspec-expectations 0.8.3-31
haskell-hspec-expectations-lifted 0.10.0-164
haskell-hspec-golden 0.2.1.0-18
haskell-hspec-hedgehog 0.0.1.2-251
haskell-hspec-megaparsec 2.2.0-171
haskell-hspec-meta 2.10.5-114
haskell-hspec-smallcheck 0.5.3-38
haskell-hspec-wai 0.11.1-403
haskell-hspec-wai-json 0.11.0-464
haskell-hstringtemplate 0.8.8-43
haskell-hsyaml 0.2.1.2-13
haskell-hsyaml-aeson 0.2.0.1-163
haskell-hsyslog 5.0.2-1
haskell-htf 0.15.0.1-54
haskell-html 1.0.1.2-25
haskell-html-conduit 1.3.2.2-209
haskell-html-entity-map 0.1.0.0-160
haskell-html-parse 0.2.1.0-11
haskell-http 4000.4.1-176
haskell-http-api-data 0.5.1-43
haskell-http-client 0.7.15-11
haskell-http-client-restricted 0.1.0-7
haskell-http-client-tls 0.3.6.3-45
haskell-http-common 0.8.3.4-150
haskell-http-conduit 2.3.8.3-36
haskell-http-date 0.0.11-132
haskell-http-download 0.2.1.0-68
haskell-http-media 0.8.1.1-10
haskell-http-streams 0.8.9.9-22
haskell-http-types 0.12.3-336
haskell-http2 4.1.0-7
haskell-http3 0.0.2-8
haskell-httpd-shed 0.4.1.1-453
haskell-hunit 1.6.2.0-219
haskell-hw-fingertree 0.1.2.1-41
haskell-hw-hspec-hedgehog 0.1.1.1-60
haskell-hw-prim 0.6.3.2-60
haskell-hxt 9.3.1.22-123
haskell-hxt-charproperties 9.5.0.0-4
haskell-hxt-regex-xmlschema 9.2.0.7-5
haskell-hxt-unicode 9.0.2.4-25
haskell-hyphenation 0.8.2-152
haskell-ieee754 0.8.0-23
haskell-ifelse 0.85-26
haskell-implicit-hie 0.1.2.7-140
haskell-implicit-hie-cradle 0.5.0.1-4
haskell-incremental-parser 0.5.1-4
haskell-indexed-list-literals 0.2.1.3-101
haskell-indexed-profunctors 0.1.1.1-1
haskell-indexed-traversable 0.1.3-49
haskell-indexed-traversable-instances 0.1.1.2-34
haskell-infer-license 0.2.0-245
haskell-infinite-list 0.1.1-6
haskell-ini 0.4.2-76
haskell-input-parsers 0.3.0.2-12
haskell-insert-ordered-containers 0.2.5.3-33
haskell-inspection-testing 0.5.0.3-1
haskell-integer-logarithms 1.0.3.1-6
haskell-integer-roots 1.0.2.0-68
haskell-interpolate 0.2.1-314
haskell-interpolatedstring-perl6 1.0.2-281
haskell-invariant 0.6.2-32
haskell-io-storage 0.3-12
haskell-io-streams 1.5.2.2-46
haskell-io-streams-haproxy 1.0.1.0-270
haskell-iospec 0.3.1.2-18
haskell-iproute 1.7.12-78
haskell-ipynb 0.2-128
haskell-ipython-kernel 0.11.0.0-21
haskell-irc-core 2.11-45
haskell-isocline 1.0.9-1
haskell-isomorphism-class 0.1.0.9-50
haskell-iwlib 0.1.2-1
haskell-ixset-typed 0.5.1.0-138
haskell-jira-wiki-markup 1.5.1-18
haskell-jose 0.10-87
haskell-js-chart 2.9.4.1-6
haskell-js-dgtable 0.5.2-13
haskell-js-flot 0.8.3-24
haskell-js-jquery 3.3.1-983
haskell-json 0.10-148
haskell-json-ast 0.3.2-56
haskell-juicypixels 3.3.8-27
haskell-kan-extensions 5.2.5-95
haskell-keys 3.12.3-297
haskell-knob 0.2.2-22
haskell-kvitable 1.0.2.1-45
haskell-lambdabot-trusted 5.3.1.2-34
haskell-lambdahack 0.11.0.1-1
haskell-language-c 0.9.3-1
haskell-language-c99 0.2.0-2
haskell-language-c99-simple 0.3.0-1
haskell-language-c99-util 0.2.0-1
haskell-language-haskell-extract 0.2.4-15
haskell-language-javascript 0.7.1.0-155
haskell-language-python 0.5.8-151
haskell-language-server 1.9.1.0-73
haskell-lattices 2.1-53
haskell-lazysmallcheck 0.6-4
haskell-leancheck 1.0.2-1
haskell-lens 5.2.3-31
haskell-lens-action 0.2.6-165
haskell-lens-aeson 1.2.3-35
haskell-lens-family-core 2.1.2-1
haskell-lexer 1.1.1-1
haskell-libbf 0.6.5.1-39
haskell-libffi 0.2.1-1
haskell-libmpd 0.10.0.0-150
haskell-libxml 0.1.1-20
haskell-libxml-sax 0.7.5-32
haskell-libyaml 0.1.2-337
haskell-lift-type 0.1.1.1-1
haskell-lifted-async 0.10.2.5-14
haskell-lifted-base 0.2.3.12-263
haskell-linear 1.22-72
haskell-linear-base 0.3.0-57
haskell-linear-generics 0.2.1-22
haskell-list-t 1.0.5.4-61
haskell-listlike 4.7.8.2-1
haskell-loch-th 0.2.2-19
haskell-logging-facade 0.3.1-168
haskell-logict 0.7.1.0-238
haskell-loop 0.3.0-242
haskell-lpeg 1.0.4-22
haskell-lrucache 1.2.0.1-23
haskell-lsp 1.6.0.0-71
haskell-lsp-test 0.14.1.0-82
haskell-lsp-test0.14.0 0.14.0.2-85
haskell-lsp-types 1.6.0.0-64
haskell-lsp-types1.4 1.4.0.1-66
haskell-lsp1.4 1.4.0.0-79
haskell-lua 2.3.2-2
haskell-lua-arbitrary 1.0.1.1-23
haskell-lucid 2.11.20230408-38
haskell-lukko 0.1.1.3-183
haskell-lumberjack 1.0.3.0-32
haskell-magic 1.1-24
haskell-managed 1.0.10-1
haskell-markdown-unlit 0.5.1-155
haskell-math-functions 0.3.4.3-29
haskell-megaparsec 9.5.0-6
haskell-memory 0.18.0-4
haskell-memotrie 0.6.10-214
haskell-mersenne-random-pure64 0.2.2.0-175
haskell-microaeson 0.1.0.1-41
haskell-microlens 0.4.13.1-1
haskell-microlens-aeson 2.5.1-31
haskell-microlens-ghc 0.4.14.2-1
haskell-microlens-mtl 0.2.0.3-1
haskell-microlens-platform 0.4.3.5-3
haskell-microlens-th 0.4.3.14-2
haskell-microspec 0.2.1.3-214
haskell-microstache 1.0.2.3-58
haskell-mime-mail 0.5.1-133
haskell-mime-types 0.1.2.0-1
haskell-minimorph 0.3.0.1-42
haskell-miniutter 0.5.1.2-42
haskell-mintty 0.1.4-1
haskell-missingh 1.6.0.1-17
haskell-mmap 0.5.9-25
haskell-mmark 0.0.7.6-158
haskell-mmorph 1.2.0-5
haskell-mockery 0.3.5-600
haskell-mod 0.2.0.1-41
haskell-modern-uri 0.3.6.0-58
haskell-monad-control 1.0.3.1-98
haskell-monad-dijkstra 0.1.1.5-14
haskell-monad-gen 0.3.0.1-6
haskell-monad-journal 0.8.1-265
haskell-monad-logger 0.3.40-47
haskell-monad-loops 0.4.3-25
haskell-monad-memo 0.5.4-76
haskell-monad-par 0.3.6-12
haskell-monad-par-extras 0.3.3-212
haskell-monad-parallel 0.8-2
haskell-monad-time 0.4.0.0-1
haskell-monadlib 3.10.1-1
haskell-monadplus 1.4.3-1
haskell-monadprompt 1.0.0.5-6
haskell-monadrandom 0.6-31
haskell-monads-tf 0.1.0.3-23
haskell-mono-traversable 1.0.15.3-162
haskell-mono-traversable-instances 0.1.1.0-210
haskell-monoid-subclasses 1.2.4.1-25
haskell-mountpoints 1.0.2-24
haskell-mtl-prelude 2.0.3.2-1
haskell-mueval 0.9.3-184
haskell-multimap 1.2.1-1
haskell-multistate 0.8.0.4-72
haskell-murmur-hash 0.1.0.10-2
haskell-mustache 2.4.2-79
haskell-mutable-containers 0.3.4.1-76
haskell-mwc-random 0.15.0.2-105
haskell-mysql 0.2.1-82
haskell-mysql-simple 0.4.9-35
haskell-nanospec 0.2.2-352
haskell-natural-transformation 0.4-22
haskell-neat-interpolation 0.5.1.4-27
haskell-netlink 1.1.1.0-14
haskell-nettle 0.3.1-1
haskell-network 3.1.4.0-16
haskell-network-bsd 2.8.1.0-206
haskell-network-byte-order 0.1.7-1
haskell-network-info 0.2.1-1
haskell-network-ip 0.3.0.3-328
haskell-network-multicast 0.3.2-208
haskell-network-protocol-xmpp 0.4.10-95
haskell-network-run 0.2.6-25
haskell-network-simple 0.4.5-94
haskell-network-udp 0.0.0-27
haskell-network-uri 2.6.4.2-26
haskell-newtype 0.2.2.0-12
haskell-newtype-generics 0.6.2-52
haskell-non-negative 0.1.2-238
haskell-nonce 1.0.7-301
haskell-nothunks 0.1.5-13
haskell-numbers 3000.2.0.2-42
haskell-numinstances 1.4-1
haskell-numtype-dk 0.5.0.3-2
haskell-oeis 0.3.10-157
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.4-1
haskell-one-liner 2.1-106
haskell-onetuple 0.3.1-71
haskell-only 0.1-22
haskell-open-browser 0.2.1.0-28
haskell-openpgp-asciiarmor 0.1.2-236
haskell-openssl-streams 1.2.3.0-209
haskell-opentelemetry 0.8.0-44
haskell-optics-core 0.4.1.1-27
haskell-optics-extra 0.4.2.1-107
haskell-optics-th 0.4.1-33
haskell-optional-args 1.0.2-19
haskell-options 1.2.1.1-19
haskell-optparse-applicative 0.17.1.0-19
haskell-optparse-generic 1.5.2-6
haskell-optparse-simple 0.1.1.4-306
haskell-ordered-containers 0.2.3-1
haskell-ormolu 0.3.0.0-104
haskell-pager 0.1.1.0-44
haskell-pandoc 3.1.8-1
haskell-pandoc-lua-engine 0.2.1-45
haskell-pandoc-lua-marshal 0.2.2-53
haskell-pandoc-server 0.1.0.5-1
haskell-pandoc-types 1.23.1-11
haskell-pango 0.13.8.2-69
haskell-panic 0.4.0.1-24
haskell-pantry 0.5.7-216
haskell-parallel 3.2.2.0-17
haskell-parameterized-utils 2.1.8.0-5
haskell-parsec-numbers 0.1.0-18
haskell-parser-combinators 1.3.0-4
haskell-parsers 0.12.11-109
haskell-path 0.9.5-6
haskell-path-io 1.8.1-48
haskell-path-pieces 0.2.1-30
haskell-patience 0.3-9
haskell-pattern-arrows 0.0.2-25
haskell-pcg-random 0.1.4.0-19
haskell-pcre-heavy 1.0.0.3-33
haskell-pcre-light 0.4.1.2-22
haskell-peano 0.1.0.1-1
haskell-pem 0.2.4-282
haskell-persistent 2.13.3.5-117
haskell-persistent-mysql 2.13.1.0-1
haskell-persistent-postgresql 2.13.4.1-1
haskell-persistent-qq 2.12.0.2-205
haskell-persistent-sqlite 2.13.1.0-124
haskell-persistent-test 2.13.1.2-147
haskell-pgp-wordlist 0.1.0.3-230
haskell-pid1 0.1.3.1-1
haskell-pipes 4.3.16-114
haskell-pipes-http 1.0.6-579
haskell-placeholders 0.1-24
haskell-pointed 5.0.4-118
haskell-polyparse 1.13-11
haskell-polysemy 1.9.1.3-11
haskell-postgresql-binary 0.12.5-88
haskell-postgresql-libpq 0.9.4.3-6
haskell-postgresql-simple 0.6.5-62
haskell-prelude-extras 0.4.0.3-24
haskell-presburger 1.3.1-21
haskell-pretty-hex 1.1-9
haskell-pretty-show 1.10-14
haskell-pretty-simple 4.1.2.0-65
haskell-prettyclass 1.0.0.0-18
haskell-prettyprinter 1.7.1-155
haskell-prettyprinter-ansi-terminal 1.1.3-158
haskell-prettyprinter-convert-ansi-wl-pprint 1.1.2-157
haskell-prettyprinter-interp 0.2.0.0-2
haskell-prim-uniq 0.2-94
haskell-primes 0.2.1.0-23
haskell-primitive 0.7.4.0-103
haskell-primitive-addr 0.1.0.2-101
haskell-primitive-extras 0.10.1.10-5
haskell-primitive-unaligned 0.1.1.2-38
haskell-primitive-unlifted 0.1.3.1-31
haskell-process-extras 0.7.4-307
haskell-profunctors 5.6.2-163
haskell-project-template 0.2.1.0-335
haskell-protolude 0.3.3-20
haskell-psqueues 0.2.8.0-6
haskell-ptr 0.16.8.6-5
haskell-puremd5 2.1.4-7
haskell-quic 0.1.5-16
haskell-quickcheck 2.14.3-53
haskell-quickcheck-assertions 0.3.0-278
haskell-quickcheck-classes 0.6.5.0-186
haskell-quickcheck-classes-base 0.6.2.0-279
haskell-quickcheck-instances 0.3.30-40
haskell-quickcheck-io 0.2.0-676
haskell-quickcheck-safe 0.1.0.6-42
haskell-quickcheck-text 0.1.2.1-122
haskell-quickcheck-unicode 1.0.1.0-234
haskell-ral 0.2.1-145
haskell-random 1.2.1.1-154
haskell-random-bytestring 0.1.4-82
haskell-random-fu 0.3.0.1-20
haskell-random-shuffle 0.0.4-177
haskell-random-source 0.3.0.13-16
haskell-ranged-sets 0.4.0-224
haskell-rank2classes 1.5.3-11
haskell-rate-limit 1.4.3-1
haskell-raw-strings-qq 1.1-219
haskell-readable 0.3.1-18
haskell-rebase 1.18-41
haskell-recaptcha 0.1.0.4-157
haskell-record-dot-preprocessor 0.2.17-1
haskell-record-hasfield 1.0.1-1
haskell-recursion-schemes 5.2.2.5-21
haskell-recv 0.1.0-26
haskell-reducers 3.12.4-145
haskell-refact 0.3.0.2-25
haskell-refinery 0.4.0.0-169
haskell-reflection 2.1.7-20
haskell-regex-applicative 0.3.4-189
haskell-regex-applicative-text 0.1.0.1-209
haskell-regex-base 0.94.0.2-2
haskell-regex-compat 0.95.2.1-6
haskell-regex-compat-tdfa 0.95.1.4-197
haskell-regex-pcre 0.95.0.0-13
haskell-regex-posix 0.96.0.1-3
haskell-regex-tdfa 1.3.2.2-34
haskell-reinterpret-cast 0.1.0-242
haskell-relude 1.1.0.0-1
haskell-repline 0.4.2.0-1
haskell-req 3.13.0-107
haskell-rere 0.2.0.1-16
haskell-rerebase 1.18-41
haskell-resolv 0.1.2.0-197
haskell-resource-pool 0.2.3.2-292
haskell-resourcet 1.2.6-47
haskell-retrie 1.1.0.0-172
haskell-retry 0.9.3.1-31
haskell-rfc5051 0.2-8
haskell-rio 0.1.22.0-104
haskell-rio-orphans 0.1.2.0-292
haskell-rio-prettyprint 0.1.6.0-13
haskell-roman-numerals 0.5.1.5-30
haskell-rope-utf16-splay 0.3.2.0-133
haskell-rsa 2.4.1-226
haskell-rvar 0.3.0.2-19
haskell-s-cargot 0.1.5.0-22
haskell-safe 0.3.21-1
haskell-safe-exceptions 0.1.7.4-17
haskell-safecopy 0.10.4.2-257
haskell-safesemaphore 0.10.1-27
haskell-sandi 0.5-429
haskell-say 0.1.0.1-220
haskell-sbv 9.1-31
haskell-scientific 0.3.7.0-109
haskell-scotty 0.21-19
haskell-sdl2 2.5.5.0-45
haskell-sdl2-ttf 2.1.3-101
haskell-securemem 0.1.10-284
haskell-selective 0.6-4
haskell-semialign 1.2.0.1-150
haskell-semigroupoids 5.3.7-132
haskell-semirings 0.6-147
haskell-sendfile 0.7.11.5-6
haskell-serialise 0.2.6.1-18
haskell-servant 0.20-1
haskell-servant-client 0.20-1
haskell-servant-client-core 0.20-1
haskell-servant-server 0.20-1
haskell-servant-swagger 1.2-1
haskell-setenv 0.1.1.3-25
haskell-setlocale 1.0.0.10-4
haskell-sha 1.6.4.4-19
haskell-shake 0.19.6-161
haskell-shakespeare 2.1.0.1-33
haskell-shell-escape 0.2.0-196
haskell-shellmet 0.0.4.1-48
haskell-shelly 1.10.0.1-18
haskell-should-not-typecheck 2.1.0-258
haskell-show 0.6-143
haskell-show-combinators 0.2.0.0-9
haskell-silently 1.2.5.3-1
haskell-simple-get-opt 0.5-1
haskell-simple-reflect 0.3.3-9
haskell-simple-sendfile 0.2.32-23
haskell-simple-smt 0.9.7-2
haskell-singleton-bool 0.1.7-2
haskell-singletons 3.0.2-1
haskell-skein 1.0.9.4-51
haskell-skylighting 0.14-1
haskell-skylighting-core 0.14-1
haskell-skylighting-format-ansi 0.1-108
haskell-skylighting-format-blaze-html 0.1.1.1-41
haskell-skylighting-format-context 0.1.0.2-73
haskell-skylighting-format-latex 0.1-108
haskell-slist 0.2.1.0-31
haskell-smallcheck 1.2.1.1-34
haskell-smtlib 1.1-14
haskell-snap-core 1.0.5.1-58
haskell-snap-server 1.1.2.1-95
haskell-sockaddr 0.0.1-45
haskell-socks 0.6.1-233
haskell-some 1.0.5-1
